headline,summary,timestamp,link
"Biden, Macron, Scholz, Johnson: Allies abroad, struggling at home","The four leaders seeking to forge a powerful alliance against Russia — Joe Biden, Emmanuel Macron, Olaf Scholz and Boris Johnson — each face serious political weaknesses in their home countries.",,https://www.washingtonpost.com/politics/2022/06/28/biden-macron-scholz-johnson-weak/
Israel loosens abortion law restrictions after Roe v. Wade decision,,,https://www.washingtonpost.com/world/2022/06/28/israel-abortion-law-changes-roe/
"101-year-old ex-Nazi guard convicted in Germany of over 3,500 counts of accessory to murder",,,https://www.washingtonpost.com/world/2022/06/28/germany-nazi-guard-sentenced-prison/
"At least 52 killed in Colombia prison fire, authorities say",,,https://www.washingtonpost.com/world/2022/06/28/tulua-prison-fire-inmates-killed/
Scotland’s leader seeks new independence vote in October 2023,,,https://www.washingtonpost.com/world/2022/06/28/scotlands-leader-seeks-new-independence-vote-october-2023/
Death toll in Amtrak derailment climbs to four as NTSB probe begins,"Eight cars and two locomotives derailed in the collision between the train and a dump truck near Mendon, Mo., with cars overturning onto their sides.",,https://www.washingtonpost.com/transportation/2022/06/28/amtrak-missouri-derailment-investigation/
Tens of thousands of monkeypox vaccines rushed to states as White House pushes new strategy,,,https://www.washingtonpost.com/health/2022/06/28/monkeypox-vaccination-strategy-us/
"Flint water charges tossed because of ‘one-man grand jury,’ court says",,,https://www.washingtonpost.com/national-security/2022/06/28/flint-water-charges-thrown-out/
Soaring inflation and $6.30 gas spur relief checks in California,,,https://www.washingtonpost.com/business/2022/06/28/california-inflation-relief-gas-prices/
"Journalists in Uvalde are stonewalled, hassled, threatened with arrest",,,https://www.washingtonpost.com/media/2022/06/28/we-were-seen-enemies-journalists-uvalde-threatened-by-police/
States got millions in aid for child care. Only some are using it to try to fix the system.,,,https://www.washingtonpost.com/dc-md-va/2022/06/27/child-care-credit-grant-texas/
R. Kelly fan accused of planning to ‘storm’ prosecutors’ offices,,,https://www.washingtonpost.com/nation/2022/06/28/rkelly-fan-christopher-gunn/
Arlington National Cemetery faces directive to remove killer’s remains,,,https://www.washingtonpost.com/national-security/2022/06/28/arlington-national-cemetery-faces-directive-remove-killers-remains/
Ernst & Young hit with $100 million fine over cheating on ethics tests,"Hundreds of auditors at accounting giant Ernst & Young cheated on ethics exams, earning the firm a record-breaking $100 million fine from the SEC. ",,https://www.washingtonpost.com/business/2022/06/28/ernst-young-cheating-sec-fine/
Chinese posed as Texans on social media to attack rare earths rivals,,,https://www.washingtonpost.com/technology/2022/06/28/china-misinformation-rare-earths/
Crypto hedge fund Three Arrows in default on $665 million loan,,,https://www.washingtonpost.com/business/2022/06/27/three-arrows-capital-default-crypto-voyager-digital/
What an interior designer and organizer does in a workday,,,https://www.washingtonpost.com/lifestyle/2022/06/28/workday-interior-designer-organizer/
Taiwan official calls for approval of U.S. computer chip subsidies,Taiwan says the failure of the Congress to pass subsidies for chip manufacturing will slow plans for new chip factories in the United States. ,,https://www.washingtonpost.com/us-policy/2022/06/28/tsmc-arizona-construction-subsidies/
Google tries to assuage GOP on charges its email filter is ‘biased’,,,https://www.washingtonpost.com/politics/2022/06/28/google-tries-assuage-gop-charges-its-email-filter-is-biased/
"With clock ticking, battle over tech regulation intensifies",,,https://www.washingtonpost.com/technology/2022/06/27/antitrust-tech-battle-congress/
D.C. Council allows adults over 21 easier access to medical marijuana,"The bill marks the latest attempt by lawmakers to back the city’s medical marijuana industry, which they say has lost business to more easily accessible marijuana “gifting” shops.",,https://www.washingtonpost.com/dc-md-va/2022/06/28/dc-council-marijuana-vaccines/
"Baker paused his Md. gubernatorial bid, rivals sought his endorsement. Why hasn’t it come?",,,https://www.washingtonpost.com/dc-md-va/2022/06/28/maryland-baker-governor-race/
"Suspended Metro cars are being stored improperly, safety panel says",,,https://www.washingtonpost.com/transportation/2022/06/28/metro-cars-7000-series/
Meteorologists remember the June 2012 Mid-Atlantic derecho,The derecho remains one of the most widespread and ruinous severe thunderstorms in the region.,,https://www.washingtonpost.com/weather/2022/06/28/june-derecho-midatlantic-2012/
"Four years later, Annapolis remembers Capital Gazette shooting victims",,,https://www.washingtonpost.com/dc-md-va/2022/06/28/capital-gazette-shooting-anniversary/
"After 48 years brightening area gardens, Roozen’s Nursery has closed",,,https://www.washingtonpost.com/dc-md-va/2022/06/28/roozen-brothers-nursery/
Md. man charged with murder as he awaits retrial in quadruple shooting,,,https://www.washingtonpost.com/dc-md-va/2022/06/28/murder-charge-awaiting-retrial/
Man sentenced to 16 years for 2020 killing of D.C. construction worker,,,https://www.washingtonpost.com/dc-md-va/2022/06/28/construction-worker-killing-sentence/
"PM Update: Pleasant tonight, then turning warmer Wednesday",,,https://www.washingtonpost.com/weather/2022/06/28/dc-area-forecast-warmer-wednesday/
"Known coronavirus cases and deaths per 100,000",,,https://www.washingtonpost.com/graphics/local/dc-maryland-virginia-coronavirus-cases/
20 minutes of vigorous exercise daily works wonders for teens,,,https://www.washingtonpost.com/health/2022/06/28/teen-fitness-exercise-daily/
Easing your chronic back pain — with and without medication,,,https://www.washingtonpost.com/health/2022/06/27/back-pain-treatment-options/
Supreme Court sides with doctors convicted of overprescribing opioids,,,https://www.washingtonpost.com/politics/2022/06/27/supreme-court-opioid-prescriptions/
Vivek Murthy wants to fix our mental health crisis. But how much can he do?,,,https://www.washingtonpost.com/lifestyle/2022/06/27/vivek-murthy-surgeon-general/
Marlin Briscoe pried open door for Black quarterbacks in pro football,"Before James Harris, Warren Moon and Doug Williams, there was Marlin Briscoe, a trailblazer who died Monday at 76.",,https://www.washingtonpost.com/sports/2022/06/28/marlin-briscoe-death-black-qbs/
"McLaurin, Commanders reach three-year deal worth about $71 million",,,https://www.washingtonpost.com/sports/2022/06/28/terry-mclaurin-washington-commanders-contract/
Serena Williams loses first-round match in return to Wimbledon after missing year with injury,,,https://www.washingtonpost.com/sports/2022/06/28/serena-williams-wimbledon-first-round-harmony-tan/
Start spreading the news: Yankees could break MLB wins record,,,https://www.washingtonpost.com/sports/2022/06/28/yankees-mlb-wins-record/
Deshaun Watson’s NFL hearing begins and could last multiple days,,,https://www.washingtonpost.com/sports/2022/06/28/deshaun-watson-nfl-hearing/
PGA Tour strengthens ties with European golf to blunt LIV threat ,,,https://www.washingtonpost.com/sports/2022/06/28/pga-tour-dp-liv/
John Wall is set to join Clippers after Rockets buy out his contract,,,https://www.washingtonpost.com/sports/2022/06/27/john-wall-clippers-rockets-buyout/
